H KCA PE,0.0012,,mg/L,>100,0.0002,0.0001,0.0002,0.0005,-0.0002
PATRON,0.4831,,mg/L,0.4,0.0664,-0.0021,0.0661,0.0665,0.0665
H KCA PE,0.0029,,mg/L,49.5,0.0004,-0.0001,0.0002,0.0006,0.0004
H KCA PE,0.0006,,mg/L,>100,0.0001,0.0002,0.0001,-0.0002,0.0003
PATRON,0.4835,,mg/L,1.2,0.0664,-0.0019,0.0674,0.0659,0.0659
BLANCO,-0.0001,,mg/L,>100,0,-0.0023,0.0004,0.0002,-0.0007
BLANCO REACTIVO,0,,mg/L,29.6,0.0017,-0.0007,0.0013,0.0015,0.0023
M1 PE,-0.0014,,mg/L,>100,-0.0002,0.0004,0.0001,-0.0008,0.0001
M2 PE,0.0031,,mg/L,44.7,0.0004,-0.0001,0.0005,0.0002,0.0006
M3 PE,0.0005,,mg/L,>100,0.0001,0.0002,0,0.0003,-0.0001
M4 PE,-0.0006,,mg/L,>100,-0.0001,0.0004,0.0002,-0.0001,-0.0004
PATRON,0.4892,,mg/L,0.6,0.0672,-0.0022,0.0672,0.0675,0.0668
P KCA PE,0.0022,,mg/L,>100,0.0003,0.0001,-0.0001,0.0007,0.0003
PATRON,0.4956,,mg/L,1.8,0.0646,0.0006,0.0644,0.0658,0.0635
BLANCO,-0.0005,,mg/L,>100,-0.0001,-0.0001,0.0001,-0.0005,0.0002
BLANCO REACTIVO,0,,mg/L,62.9,0.0006,-0.0008,0.001,0.0005,0.0003
ELY 1,-0.0001,,mg/L,>100,0,0.0012,-0.0004,-0.0001,0.0004
ELY 2,-0.0027,,mg/L,54.2,-0.0004,0.0016,-0.0005,-0.0001,-0.0004
ELY 3,-0.0016,,mg/L,>100,-0.0002,0.0017,-0.0005,-0.0001,-0.0001
ELY 4,-0.0002,,mg/L,>100,0,0.0015,-0.0003,0.0003,-0.0001
PATRON,0.5014,,mg/L,1.2,0.0653,-0.0007,0.0645,0.0655,0.066
ELY P,0.0036,,mg/L,69.1,0.0005,0.0011,0.0001,0.0008,0.0006
PATRON,0.5069,,mg/L,0.5,0.066,-0.001,0.0661,0.0657,0.0662
BLANCO,-0.0034,,mg/L,>100,-0.0005,-0.0028,-0.0007,-0.0008,0.0001
BLANCO REACTIVO,0,,mg/L,16.3,0.0018,-0.0016,0.002,0.002,0.0015
TRITURADORA,-0.0018,,mg/L,43.9,-0.0002,-0.0002,-0.0004,-0.0002,-0.0002
VICTORIA,-0.0004,,mg/L,>100,-0.0001,-0.0007,-0.0001,-0.0001,0
CELDA 1,-0.0023,,mg/L,87.8,-0.0003,-0.0003,-0.0006,-0.0002,-0.0002
CELDA 2,0.0023,,mg/L,80.3,0.0003,-0.0002,0.0001,0.0006,0.0003
CELDA 3,-0.0005,,mg/L,>100,-0.0001,-0.0006,-0.0001,0,-0.0001
CELDA 4A,0.0033,,mg/L,57.3,0.0004,-0.0005,0.0007,0.0003,0.0003
CELDA 4B,0.0012,,mg/L,>100,0.0002,-0.0002,0.0002,0.0005,-0.0003
CELDA 5A,-0.0015,,mg/L,>100,-0.0002,0.0001,-0.0007,0.0005,-0.0004
CELDA 5B,-0.0008,,mg/L,>100,-0.0001,-0.0001,-0.0001,-0.0004,0.0001
PATRON,0.485,,mg/L,0.6,0.0633,-0.0024,0.0633,0.0636,0.0629
BLANCO,-0.0048,,mg/L,67.9,-0.0007,-0.0026,-0.0007,-0.0002,-0.0011
BLANCO REACTIVO,0,,mg/L,20,0.0013,-0.001,0.0015,0.0014,0.001
