PATRON,0.05,,mg/L,7.7,0.0003,0.0033,-0.002,1,1,1,0.0034,0.0033,0.003
BLANCO,-0.0023,,mg/L,26.1,0.0002,0.0006,-0.0029,1,1,1,0.0007,0.0004,0.0006
BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0001,-0.0025,1,1,1,0.0002,0.0002,-0.0002
H KCA PE,0.0349,,mg/L,8.7,0.0002,0.0025,0.0015,1,1,1,0.0023,0.0027,0.0026
H KCA PE,0.0359,,mg/L,10.9,0.0003,0.0026,0.0005,1,1,1,0.0024,0.0024,0.0029
H KCA PE,0.0339,,mg/L,23.7,0.0006,0.0024,0.0003,1,1,1,0.0021,0.0021,0.0031
PATRON,0.053,,mg/L,12.8,0.0004,0.0034,-0.0027,1,1,1,0.0034,0.003,0.0038
H KCA PE,0.0319,,mg/L,29.8,0.0007,0.0023,0.0007,1,1,1,0.0017,0.0031,0.0022
H KCA PE,0.0307,,mg/L,17.3,0.0004,0.0023,0.0007,1,1,1,0.0025,0.0025,0.0018
PATRON,0.0506,,mg/L,5.1,0.0002,0.0033,-0.0027,1,1,1,0.0032,0.0032,0.0035
BLANCO,0.0009,,mg/L,26.3,0.0002,0.0007,-0.0034,1,1,1,0.001,0.0007,0.0006
BLANCO REACTIVO,0,,mg/L,83.6,0.0004,0.0005,-0.003,1,1,1,0.0004,0.0001,0.0009
M1 PE,0.0287,,mg/L,7.8,0.0002,0.0022,0,1,1,1,0.0023,0.002,0.0022
M2 PE,0.0217,,mg/L,17.2,0.0003,0.0018,-0.0001,1,1,1,0.0016,0.0022,0.0017
M3 PE,0.0163,,mg/L,26.7,0.0004,0.0015,0.0002,1,1,1,0.0011,0.0018,0.0018
M4 PE,0.0151,,mg/L,8.4,0.0001,0.0015,0,1,1,1,0.0014,0.0016,0.0014
PATRON,0.0514,,mg/L,6,0.0002,0.0033,-0.0028,1,1,1,0.0034,0.0035,0.0031
P KCA PE,0.0132,,mg/L,15.4,0.0002,0.0014,0,1,1,1,0.0014,0.0011,0.0016
PATRON,0.0473,,mg/L,26.8,0.0008,0.0031,-0.0029,1,1,1,0.0038,0.0033,0.0022
BLANCO,0.0014,,mg/L,34.4,0.0003,0.0008,-0.0038,1,1,1,0.0005,0.0009,0.0009
BLANCO REACTIVO,0,,mg/L,16.3,0.0001,0.0009,-0.0037,1,1,1,0.0007,0.001,0.0009
ELY 1,0.0235,,mg/L,12,0.0002,0.0019,-0.0006,1,1,1,0.0016,0.002,0.002
ELY 2,0.0184,,mg/L,20,0.0003,0.0016,-0.0006,1,1,1,0.0019,0.0017,0.0013
ELY 3,0.0212,,mg/L,7.3,0.0001,0.0018,-0.0012,1,1,1,0.0019,0.0019,0.0016
ELY 4,0.0204,,mg/L,15.3,0.0003,0.0017,-0.001,1,1,1,0.0019,0.0014,0.0019
PATRON,0.0522,,mg/L,9.6,0.0003,0.0034,-0.0028,1,1,1,0.0032,0.0037,0.0032
ELY P,0.0157,,mg/L,8.7,0.0001,0.0015,-0.0011,1,1,1,0.0014,0.0015,0.0016
PATRON,0.0499,,mg/L,5.2,0.0002,0.0032,-0.0039,1,1,1,0.0033,0.003,0.0034
BLANCO,0.0044,,mg/L,17.9,0.0002,0.0009,-0.004,1,1,1,0.0011,0.0009,0.0008
BLANCO REACTIVO,0,,mg/L,47.5,0.0004,-0.0008,0.0002,1,1,1,-0.0004,-0.001,-0.001
NOROESTE,0.0241,,mg/L,8.3,0.0002,0.0019,-0.0017,1,1,1,0.0021,0.002,0.0017
TRITURADORA,0.0144,,mg/L,10.8,0.0002,0.0014,-0.0013,1,1,1,0.0016,0.0013,0.0014
VICTORIA,0.033,,mg/L,2.2,0.0001,0.0024,-0.0017,1,1,1,0.0023,0.0024,0.0024
CELDA 1,0.0242,,mg/L,6,0.0001,0.0019,-0.0011,1,1,1,0.002,0.0018,0.002
CELDA 2,0.047,,mg/L,6.4,0.0002,0.0031,0.0039,1,1,1,0.0029,0.0033,0.0032
CELDA 3,0.0192,,mg/L,21.5,0.0004,0.0017,-0.0007,1,1,1,0.0014,0.0021,0.0015
CELDA 4A,0.0427,,mg/L,2.8,0.0001,0.0029,0.005,1,1,1,0.0028,0.0029,0.003
CELDA 4B,0.0405,,mg/L,5.8,0.0002,0.0028,0.0052,1,1,1,0.0029,0.0027,0.0026
CELDA 5A,0.0406,,mg/L,9.5,0.0003,0.0028,0.0044,1,1,1,0.0026,0.0027,0.0031
CELDA 5B,0.0407,,mg/L,11.6,0.0003,0.0028,0.0043,1,1,1,0.003,0.0024,0.003
PATRON,0.0463,,mg/L,7.5,0.0002,0.0031,0.0008,1,1,1,0.0033,0.0029,0.0029
BLANCO,-0.008,,mg/L,>100,0.0004,0.0003,-0.0068,1,1,1,0.0002,0.0008,-0.0001
BLANCO REACTIVO,0,,mg/L,45.3,0.0004,-0.001,-0.0002,1,1,1,-0.0009,-0.0015,-0.0006
