PATRON,0.0441,,mg/L,18.7,0.0022,-0.0033,0.0024,0.0017,0.0023
H KCA PE,0.0233,,mg/L,47.1,0.0012,-0.0004,0.0014,0.0006,0.0017
H KCA PE,0.0233,,mg/L,23.7,0.0011,-0.001,0.0013,0.0009,0.001
PATRON,0.0522,,mg/L,9.9,0.0026,-0.0042,0.0024,0.0029,0.0026
BLANCO,0.0058,,mg/L,>100,0.0001,-0.0038,-0.0003,0.0003,0.0004
BLANCO REACTIVO,0,,mg/L,9.4,0.0006,-0.0031,0.0005,0.0005,0.0006
M1 PE,0.0231,,mg/L,43.7,0.001,-0.0016,0.0009,0.0007,0.0016
M2 PE,0.0165,,mg/L,32.1,0.0007,-0.002,0.001,0.0006,0.0006
M3 PE,0.0085,,mg/L,47.2,0.0003,-0.0021,0.0002,0.0002,0.0004
M4 PE,0.0009,,mg/L,>100,-0.0001,-0.0019,-0.0004,-0.0002,0.0002
PATRON,0.0514,,mg/L,5.1,0.0024,0.0004,0.0025,0.0023,0.0025
P KCA PE,0.0093,,mg/L,>100,0.0003,-0.0014,-0.0003,0.0002,0.001
PATRON,0.0512,,mg/L,3.9,0.0024,0.0001,0.0025,0.0023,0.0024
BLANCO,0.0043,,mg/L,>100,0,0.0002,0,0.0006,-0.0005
BLANCO REACTIVO,0,,mg/L,82.6,0.0002,0.0011,0.0001,0.0001,0.0004
ELY 1,0.0209,,mg/L,15,0.0008,0.0051,0.0007,0.0008,0.0009
ELY 2,0.019,,mg/L,0.8,0.0007,0.005,0.0007,0.0007,0.0007
ELY 3,0.0211,,mg/L,29.1,0.0008,0.0046,0.0005,0.0008,0.001
ELY 4,0.0186,,mg/L,60.4,0.0007,0.0044,0.0009,0.0009,0.0002
PATRON,0.0496,,mg/L,11.6,0.0023,0.0008,0.0021,0.0026,0.0023
ELY P,0.0026,,mg/L,59.2,0.0003,0.0045,0.0001,0.0004,0.0005
PATRON,0.0509,,mg/L,2.2,0.0025,0,0.0025,0.0025,0.0024
BLANCO,0.009,,mg/L,6.6,0.0009,-0.0016,0.0009,0.0008,0.001
BLANCO REACTIVO,0,,mg/L,16.2,0.0003,0.0004,0.0003,0.0003,0.0002
NOROESTE,0.0044,,mg/L,21,0.0007,0.0035,0.0007,0.0005,0.0008
TRITURADORA,0.0303,,mg/L,3.8,0.002,0.0025,0.002,0.0021,0.0019
VICTORIA,-0.0053,,mg/L,>100,0.0002,0.0032,0.0004,0,0.0001
CELDA 1,0.0202,,mg/L,21.2,0.0015,0.0013,0.0011,0.0016,0.0017
CELDA 2,0.0135,,mg/L,17.8,0.0011,0.0016,0.0009,0.0013,0.0011
CELDA 3,0.0229,,mg/L,26.2,0.0016,0.0012,0.0021,0.0012,0.0016
CELDA 4A,0.0243,,mg/L,4.1,0.0017,0.0021,0.0016,0.0017,0.0018
CELDA 4B,0.0177,,mg/L,22.9,0.0014,0.0023,0.0011,0.0017,0.0014
CELDA 5A,0.0155,,mg/L,14.9,0.0013,0.0015,0.0015,0.0011,0.0011
CELDA 5B,0.0134,,mg/L,23.7,0.0011,0.0012,0.0011,0.0014,0.0009
PATRON,NO CA,L,mg/L,41,0.0008,-0.0004,0.0008,0.0011,0.0004
BLANCO,0.0037,,mg/L,23.7,0.0006,-0.0003,0.0008,0.0006,0.0005
BLANCO REACTIVO,0,,mg/L,90.4,-0.0007,0.0005,-0.0008,-0.0013,0
