BLANCO,0.0046,,mg/L,>100,0.0001,0.0001,-0.0003,0.0001,-0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,20.4,0.0002,0.0012,-0.0018,0.001,0.001,0.0014
H KCA PE,0.0316,,mg/L,11.6,0.0002,0.0014,0.001,0.0014,0.0016,0.0012
H KCA PE,0.0282,,mg/L,11.2,0.0001,0.0012,-0.0004,0.0011,0.0013,0.0013
H KCA PE,0.0323,,mg/L,9.3,0.0001,0.0014,0.0012,0.0015,0.0013,0.0015
PATRON,0.0518,,mg/L,6.7,0.0002,0.0026,0.0016,0.0028,0.0025,0.0025
H KCA PE,0.0327,,mg/L,19.4,0.0003,0.0014,0.0012,0.0011,0.0015,0.0017
H KCA PE,0.0334,,mg/L,18.6,0.0003,0.0015,0.0011,0.0013,0.0018,0.0014
PATRON,0.0484,,mg/L,1.8,0,0.0024,0.0013,0.0024,0.0024,0.0025
BLANCO,-0.0039,,mg/L,>100,0.0003,-0.0001,-0.0021,-0.0003,-0.0003,0.0002
BLANCO REACTIVO,0,,mg/L,70.2,0.0002,0.0002,-0.0016,0.0004,0.0001,0.0002
M1 PE,0.0258,,mg/L,10.9,0.0001,0.0013,0.0017,0.0014,0.0013,0.0011
M2 PE,0.022,,mg/L,7.2,0.0001,0.0011,0.0017,0.0011,0.001,0.0012
M3 PE,0.0269,,mg/L,21.6,0.0003,0.0014,0.0018,0.0017,0.0011,0.0012
M4 PE,0.023,,mg/L,15.7,0.0002,0.0012,0.0014,0.0013,0.001,0.0012
PATRON,0.0538,,mg/L,11.4,0.0003,0.0027,0.0027,0.0027,0.003,0.0023
P KCA PE,0.0191,,mg/L,30.4,0.0003,0.001,0.0023,0.001,0.0013,0.0007
PATRON,0.056,,mg/L,2.4,0.0001,0.0028,0.0024,0.0028,0.0027,0.0028
BLANCO,0.0103,,mg/L,78.9,0.0004,0.0005,-0.0006,0.0001,0.0006,0.0009
BLANCO REACTIVO,0,,mg/L,9.6,0.0001,0.0009,-0.0006,0.0011,0.0009,0.0009
ELY 1,0.0152,,mg/L,11.9,0.0001,0.0008,0.0019,0.0007,0.0008,0.0008
ELY 2,0.012,,mg/L,22.4,0.0001,0.0006,0.0015,0.0007,0.0005,0.0007
ELY 3,0.0124,,mg/L,16.5,0.0001,0.0006,0.0018,0.0007,0.0007,0.0005
ELY 4,0.0019,,mg/L,48.2,0.0001,0.0001,0.0016,0.0001,0.0002,0.0002
PATRON,0.0471,,mg/L,11.5,0.0003,0.0023,0.0017,0.0021,0.0023,0.0026
ELY P,0.0078,,mg/L,36,0.0002,0.0004,0.0014,0.0005,0.0002,0.0005
PATRON,0.0516,,mg/L,7.3,0.0002,0.0026,0.0014,0.0024,0.0026,0.0027
BLANCO,-0.0038,,mg/L,>100,0.0003,-0.0001,-0.0015,-0.0001,0.0001,-0.0004
BLANCO REACTIVO,0,,mg/L,13,0.0001,0.0009,-0.0011,0.0008,0.001,0.001
NOROESTE,0.0158,,mg/L,26.1,0.0002,0.0008,0.0012,0.001,0.0006,0.0009
TRITURADORA,-0.0029,,mg/L,>100,0.0001,-0.0001,0.0016,0,-0.0002,-0.0001
VICTORIA,0.0036,,mg/L,75.2,0.0002,0.0002,0.0019,0.0002,0.0004,0.0001
CELDA 1,0.0067,,mg/L,35.2,0.0001,0.0004,0.0017,0.0005,0.0004,0.0002
CELDA 2,0.0189,,mg/L,22.7,0.0002,0.001,0.0023,0.0009,0.0008,0.0012
CELDA 3,0.0083,,mg/L,12.8,0.0001,0.0004,0.0023,0.0004,0.0005,0.0005
CELDA 4A,0.0141,,mg/L,29.1,0.0002,0.0007,0.0026,0.0005,0.0008,0.0009
CELDA 4B,0.0107,,mg/L,37.8,0.0002,0.0006,0.0025,0.0004,0.0008,0.0005
CELDA 5A,0.0024,,mg/L,>100,0.0004,0.0002,0.0013,0.0001,-0.0002,0.0006
CELDA 5B,0.0115,,mg/L,63.1,0.0004,0.0006,0.0015,0.0005,0.001,0.0003
PATRON,NO CA,L,mg/L,19,0.0004,0.0022,0.0025,0.0018,0.0021,0.0026
